Author Keywords,Abstract,Source Title,Publisher,Title,Year
ADDITIVE MANUFACTURING;  AUTOMATION;  ELOGISTICS;  GLOBAL SUPPLYCHAINS;  INDUSTRYFOURTH;  INTERNET OF THINGS,"THE PRIMARY OBJECTIVE OF THIS PAPER IS TO IDENTIFY HOW INDUSTRIAL AUTOMATION OF ADDITIVE MANUFACTURING TECHNOLOGY USING INTERNET OF THINGS (IOT) WILL LEVERAGE THE QUALITY OF EXISTING SUPPLYCHAIN MANAGEMENT PROCESSES. THE IMPORTANCE OF THE IMPLEMENTATION OF ELOGISTICS IN SUPPLYCHAINOPERATIONS IS ALSO DELINEATED. AN INTENSIVE DESK-BASED LITERATURE SURVEY STUDY IDENTIFIES POTENTIAL ADVANTAGES OF INCORPORATING IOT AUTOMATED ADDITIVE MANUFACTURING TO IMPROVE SUPPLYCHAIN PROCESSES. WE ALSO DISCUSS HOW THE AUTOMATION OF LOGISTICS OPERATIONS, ALSO KNOWN AS ELOGISTICS, WILL HELP MODERNIZE SUPPLYCHAIN MANAGEMENT. THE RESEARCH PAPER COMPRISES THEORETICAL WORK ABOUT THE APPLICATION OF AUTOMATED ADDITIVE MANUFACTURING AND ELOGISTICS IN MODERN SUPPLYCHAINS. DETAILED ANALYSIS ON THE ADVANTAGES OF IMPLEMENTING AUTOMATED ADDITIVE MANUFACTURING TECHNOLOGY AND ELOGISTICS IN THE SUPPLYCHAIN IS PERFORMED. DUE TO THE NOVELTY OF THE AREA, WE HAVE CONDUCTED THIS STUDY BASED ON AVAILABLE RESEARCH MATERIAL, AND IT IS PRETTY LIMITED. VARIOUS DIGITAL TECHNOLOGIES INTRODUCED AS A PART OF THE FOURTH INDUSTRIAL REVOLUTION, SUCH AS ARTIFICIAL INTELLIGENCE, MACHINE LEARNING, AUGMENTED REALITY, DIGITALTWINS, AND ROBOTIC PROCESS AUTOMATION ARE BEING INCORPORATED BY SUPPLYCHAINS TO REDUCE THE OVERALL COST OF PRODUCTION. THE TOP-NOTCH ORGANIZATIONS ARE EMBRACING SUPPLYCHAIN AUTOMATION FOR CUTTING DOWN ON OPERATIONAL COSTS AND ELIMINATING SHORTAGES. © 2023, THE AUTHOR(S), UNDER EXCLUSIVE LICENSE TO SPRINGER NATURE SINGAPORE PTE LTD.",LECTURE NOTES IN MECHANICAL ENGINEERING,SPRINGER SCIENCE AND BUSINESS MEDIA DEUTSCHLAND GMBH,AUTOMATION OF AM VIA IOT TOWARDS IMPLEMENTATION OF ELOGISTICS IN SUPPLYCHAIN FOR INDUSTRY 40,2023
DIGITALTWIN;  MILITARY SUPPLYCHAIN;  MONITORING;  TRACKING;  VISIBILITY,"THE DYNAMIC AND COMPLEX NATURE OF THE MILITARY SUPPLYCHAIN (MSC) REQUIRES EFFECTIVE MONITORING OF SUPPLIES AND TIMELY DECISIONS TO ENSURE SUCCESS IN COMBAT OPERATIONS, PARTICULARLY IN THE FACE OF UNEXPECTED DISRUPTIONS SUCH AS INCLEMENT WEATHER CONDITIONS AND TERRORIST ATTACKS. ALTHOUGH, EXISTING TECHNOLOGIES SUCH AS RFIDS, NEXT-GENERATION WIRELESS COMMUNICATION (NGWC) AND RUBEES ARE APPLIED MSC, THEY ARE NOT SUFFICIENT IN ENSURING END-TO-END VISIBILITY ACROSS THE ENTIRE SC. HOWEVER, DIGITAL TECHNOLOGIES SUCH AS THE INTERNET OF THINGS, CLOUD COMPUTING, APPLICATION PROGRAMMING INTERFACE (APIS), MACHINE LEARNING, AUGMENTED AND VIRTUAL REALITY, BIG DATA, ANALYTICS AND PERVASIVE COMPUTING PLAY A CRITICAL ROLE IN IMPROVING VISIBILITY TO ENSURE EFFECTIVE SC MANAGEMENT. HENCE, THE INTRODUCTION OF THE CONCEPT OF DIGITALTWIN ENABLED BY THESE TECHNOLOGIES CREATES A DIGITAL REPLICA OF THE WHOLE SUPPLYCHAINOPERATIONS, ENSURING ADEQUATE END-TO-END VISIBILITY THROUGH REAL-TIME DATA THAT ENSURES EFFECTIVE TRACKING, MONITORING AND REPORTING OF ALL SC ACTIVITIES. THE FOCUS OF THIS PAPER IS TO EXPLORE THE ENABLING TECHNOLOGIES OF DIGITALTWIN AND ITS IMPLEMENTATION TO ACHIEVE END-TO-END VISIBILITY IN THE MILITARY SUPPLYCHAIN. IN THIS PAPER, THE AUTHORS IDENTIFY THE DIGITALTWIN'S TRACKING AND MONITORING CAPABILITY, WHICH WILL IMPROVE SUPPLYCHAIN MANAGEMENT BY ENABLING A CYCLE OF CONTINUOUS ADJUSTMENT OF THE SC AGAINST UNEXPECTED DISRUPTIONS. © 2022 THE AUTHORS AND IOS PRESS.",ADVANCES IN TRANSDISCIPLINARY ENGINEERING,IOS PRESS BV,UTILISING DIGITALTWINS FOR INCREASING MILITARY SUPPLYCHAIN VISIBILITY,2022
BLOCKCHAIN;  METAVERSE;  RESILIENCE;  SUPPLYCHAIN,"METAVERSES ARE GETTING MUCH MORE ATTENTION IN INDUSTRY AS FUNDAMENTAL ELEMENTS OF WEB 3.0, SUCH AS ARTIFICIAL INTELLIGENCE, BIG DATA, IOT, BLOCKCHAIN AND DIGITALTWINS. ON THE OTHER HAND, THERE ARE FEW STUDIES THAT ANALYZE OR DEMONSTRATE IN DETAIL THE ORIGIN OF THE METAVERSE CONCEPT AND ITS IMPACT ON BUSINESS-TO-BUSINESS (SUPPLYCHAIN) OPERATIONS AND MANAGEMENT. IN THIS PAPER, THE ORIGIN OF THE METAVERSE AND ITS RELATED CONCEPTS ARE DISCUSSED, ESPECIALLY RELATED ON BLOCKCHAIN AND NFT. MOREOVER, THIS PAPER ANALYZES THE POTENTIAL APPLICATION OF METAVERSE IN SUPPLYCHAIN RESILIENCE AND DEMONSTRATE A CASE OF BUILDING METAVERSE IN THE JAPANESE AUTOMOTIVE INDUSTRY. FINALLY, THE PAPER PUTS FORWARD SOME PRACTICAL MANAGEMENT INSPIRATIONS TO HELP ENTERPRISES IMPROVE SUPPLYCHAIN RESILIENCE THROUGH METAVERSE AND RELATED TECHNOLOGIES. © 2022 ACM.",ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,ASSOCIATION FOR COMPUTING MACHINERY,REFORMING SUPPLYCHAIN SYSTEMS IN METAVERSE,2022
BUSINESS PROCESS OPTIMIZATION;  DIGITALSUPPLYCHAIN;  DIGITALTWIN;  ORDER-TO-CASH,"WE PRESENT AN INTEGRATED DIGITALTWIN FRAMEWORK FOR SUPPLYCHAIN BUSINESS PROCESSES. THE FRAMEWORK MODELS SUPPLYCHAIN PROCESSES AS QUEUEING NETWORKS WHERE AGENTS PERFORM TASKS ON ORDERS FLOWING THROUGH THE PROCESS. THE MODELING APPROACH CAPTURES THE ROUTING DYNAMICS AND STOCHASTICITY IN BOTH THE TASK DURATIONS AND ORDER ARRIVALS THAT ARE OBSERVED IN PRACTICE. THE DIGITAL REPLICA CREATES VALUE BY PROVIDING A FLEXIBLE DIGITAL ENVIRONMENT THAT CAN BE USED TO EVALUATE POLICIES, MITIGATE BOTTLENECKS, QUOTE MORE ACCURATE LEAD TIMES, AND FORECAST AND MITIGATE DISTURBANCES. THE DIGITALTWIN MODEL IS UPDATED IN REAL-TIME USING THE LIVE PROCESS DATA. OPTIMIZATION MODELS CAN BE DEPLOYED IN EITHER OFFLINE OR ONLINE MODE. IN THE OFFLINE MODE, A DETERMINISTIC OPTIMIZATION MODEL IS EXECUTED USING THE MOST-RECENT SYSTEM PARAMETERS AT EXPECTATION. IN THE ONLINE MODE, THE FRAMEWORK CREATES A STOCHASTIC SIMULATION ENVIRONMENT WHERE ONLINE OPTIMIZATION CAN BE PERFORMED IN A FEEDBACK LOOP. © 2022",COMPUTERS AND CHEMICAL ENGINEERING,ELSEVIER LTD,A DIGITALTWIN FRAMEWORK FOR ONLINE OPTIMIZATION OF SUPPLYCHAIN BUSINESS PROCESSES,2022
DIGITALSUPPLYCHAINTWIN;  DIGITALTWINS;  DISCRETE EVENT SIMULATION;  PACKING PROBLEM;  VEHICLE ROUTING PROBLEM,"THE DEVELOPMENT OF NEW INFORMATION TECHNOLOGIES AT THE BEGINNING OF THE 21ST CENTURY ALLOWS THE INTEGRATION BETWEEN THE PHYSICAL AND THE VIRTUAL WORLD. IN ENGINEERING, AN EMERGING TECHNOLOGY CALLED DIGITALTWINS IS PRESENTED AS THE MECHANISM TO VIRTUALIZE THE OPERATION OF DEVICES, MACHINES AND PROCESSES. IN INDUSTRIAL ENGINEERING AND SPECIFICALLY IN SUPPLYCHAINS THERE IS A GROWING INTEREST IN THE DEVELOPMENT OF DIGITALTWINS. FOR THIS REASON, THIS PAPER PROPOSES THE INTEGRATION OF LARGE-SCALE OPTIMIZATION PROBLEMS IN A DIGITAL PLATFORM THAT ALLOWS THE SOLUTION OF THESE PROBLEMS FOR DECISION-MAKING IN REAL TIME. BIN-PACKING AND VEHICLE ROUTING PROBLEMS ARE ADDRESSED THROUGH THE INTERFACE OF A COMMERCIAL SUPPLYCHAIN MANAGEMENT PLATFORM AND HEURISTIC OPTIMIZATION ALGORITHMS. WE USE TECHNOLOGY BASED ON SIMULATION OF DISCRETE EVENTS TO ACHIEVE THE PERIODIC DECISIONS THAT MAKE UP THE DIGITALSUPPLYCHAINTWIN ENGINE. A HYPOTHETICAL CASE SOLUTION IS PRESENTED TO VERIFY THE PERFORMANCE OF THE PROPOSED DEVELOPMENT. © 2021, THE AUTHOR(S), UNDER EXCLUSIVE LICENCE TO SPRINGER SCIENCE+BUSINESS MEDIA, LLC, PART OF SPRINGER NATURE.",MOBILE NETWORKS AND APPLICATIONS,SPRINGER,DIGITALTWIN FRAMEWORK FOR LARGESCALE OPTIMIZATION PROBLEMS IN SUPPLYCHAINS A CASE OF PACKING PROBLEM,2022
ARTIFICIAL INTELLIGENCE;  CYBERPHYSICAL;  DIGITALSUPPLYCHAINTWIN;  DIGITALTWIN;  INTERNET OF THINGS;  SUSTAINABILITY,"A DIGITALTWIN IS AN INTEGRATION OF VIRTUAL AND PHYSICAL SYSTEMS USING DISRUPTIVE TECHNOLOGIES. MORE PRECISELY, IT IS A METHOD OF DEVELOPING SUSTAINABLE, INTELLIGENT MANUFACTURING SYSTEMS FOR ATTAINING ROBUST QUALITY, REDUCING TIME, AND CUSTOMIZED PRODUCTS USING REAL-TIME INFORMATION THROUGHOUT THE PRODUCT LIFE CYCLE. THIS PAPER PRESENTS A SYSTEMATIC LITERATURE REVIEW OF 98 RESEARCH PAPERS ON VARIOUS DIGITALSUPPLYCHAINTWIN DIMENSIONS WITH SUSTAINABLE PERFORMANCE OBJECTIVES. THE SELECTED PAPERS WERE REVIEWED AND CLASSIFIED INTO THREE BROAD CATEGORIES: COMPONENTS OF THE DIGITALTWIN, APPLICATIONS IN THE MANUFACTURING SUPPLYCHAIN, AND SUSTAINABILITY. BASED ON THE REVIEW AND FUTURE PERSPECTIVES FROM THE STUDY, WE SUGGEST THAT ADVANCEMENTS IN TECHNOLOGIES SUCH AS IOT, CLOUD COMPUTING, AND BLOCKCHAIN HAVE INCREASED THE POTENTIAL OF DIGITALTWIN APPLICATIONS IN THE SUPPLYCHAIN. THE RESULTS INDICATE THAT A DIGITALSUPPLYCHAINTWIN SHOULD INCLUDE THE THINGS AND HUMANS FROM THE ENTIRE SUPPLYCHAIN AND NOT BE RESTRICTED TO THE LOCAL MANUFACTURING SYSTEMS. BASED ON OUR REVIEW FINDINGS, WE PRESENT A SUSTAINABLE DIGITALTWIN IMPLEMENTATION FRAMEWORK FOR SUPPLYCHAINS. THE PROPOSED FRAMEWORK WILL GUIDE FUTURE PRACTITIONERS AND RESEARCHERS. © 2021",TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,ELSEVIER INC.,DIGITALTWIN FOR SUSTAINABLE MANUFACTURING SUPPLYCHAINS CURRENT TRENDS FUTURE PERSPECTIVES AND AN IMPLEMENTATION FRAMEWORK,2022
DIGITALTWIN;  FRUITS;  INVENTORY PLANNING;  PREDICTIVE FORECAST;  TIME-SERIES,THE MANAGEMENT OF PERISHABLE FOOD INVENTORY DEMANDS SPECIAL ATTENTION. FRUITS QUICKLY LOSE THEIR FRESHNESS AND PERISH IF THEY ARE NOT CONSUMED WITHIN A SPECIFIED PERIOD. IT IS CRITICAL TO DEVELOP A MANAGEMENT TOOL BASED ON THE INTERNET OF THINGS THAT CAN EFFICIENTLY INTEGRATE ALL THE DYNAMIC DATA ASSOCIATED WITH VARIOUS TYPES OF RESOURCES IN REAL-TIME ALONG THE SUPPLYCHAIN. THIS RESEARCH IS PART OF A COMPREHENSIVE SUPPLYCHAIN FRAMEWORK DEVELOPED TO ANALYZE FOOD BANK LOGISTICS SUPPLYCHAININTERACTIONS. THE STUDY WILL MAINLY FOCUS ON THE USE OF HISTORICAL TIME-SERIES DATA TO CREATE A DIGITALTWIN THAT CAN ANTICIPATE FUTURE EVENTS. THE DIGITALTWIN FRAMEWORK WAS BUILT BASED ON THE OPERATIONAL TREND OF THE ITALIAN FOOD BANK TO STRENGTHEN THE DECISION SUPPORT SYSTEM RELATED TO THE FRESH FOOD INVENTORY. THE SAP ANALYTICS CLOUD WAS USED TO CREATE A SOLUTION THAT WOULD HELP THE ORGANIZATION BETTER SATISFY CONSUMER NEEDS BY REDUCING FRUIT WASTE IN THE INVENTORY. COPYRIGHT © 2022 THE AUTHORS. THIS IS AN OPEN ACCESS ARTICLE UNDER THE CC BY-NC-ND LICENSE (HTTPS://CREATIVECOMMONS.ORG/LICENSES/BY-NC-ND/4.0/),IFAC-PAPERSONLINE,ELSEVIER B.V.,DIGITALTWIN FOR INVENTORY PLANNING OF FRESH PRODUCE,2022
AUGMENTED REALITY;  COGNITIVE DIGITALTWIN;  DIGITALTWIN;  MACHINE LEARNING;  PRODUCTION,"THIS PAPER EXPLORES THE CURRENT ROLES AND FUTURE POTENTIAL OF AUGMENTED REALITY AND COGNITIVE CAPABILITIES FOR DIGITALTWINS. MACHINE LEARNING MODELS ARE INCREASINGLY POWERING DIGITALTWINS BECAUSE OF THEIR ABILITY TO CAPTURE THE COMPLEXITY OF THE PHYSICAL WORLD WITH FIDELITY. HOWEVER, MACHINE LEARNING MODELS FALL SHORT WHEN PREDICTING BEYOND THE EXPERIENCE OF PAST DATA. TODAY'S PRODUCTION SYSTEMS AND SUPPLYCHAINS ARE NAVIGATING DISRUPTIONS THAT THEY HAVE NOT EXPERIENCED PREVIOUSLY. THIS RESEARCH IS MOTIVATED BY THE NECESSITY TO EXPLORE METHODS FOR MANAGING LARGE-SCALE DISRUPTIONS OUTSIDE THE “LEARNED” EXPERIENCE OF BOTH THE DATA AND THE CONTROL STRATEGY OF THE PRODUCTION SYSTEM. TO EXPLORE THE INTERACTION OF HUMAN AND MACHINE INTELLIGENCE IN MANAGING DISRUPTIONS, THIS PAPER BUILDS ON ONGOING WORK BY THE AUTHORS TO DEVELOP A FRAMEWORK INTEGRATING PRODUCTION AND LOGISTICS PROCESSES THAT EMPLOYS A MACHINE LEARNING-ENABLED DIGITALTWIN TO ENSURE ADAPTIVE PRODUCTION SCHEDULING AND RESILIENT SUPPLYCHAINOPERATIONS. COPYRIGHT © 2022 THE AUTHORS. THIS IS AN OPEN ACCESS ARTICLE UNDER THE CC BY-NC-ND LICENSE.",IFAC-PAPERSONLINE,ELSEVIER B.V.,TOWARDS LEARNINGENABLED DIGITALTWIN WITH AUGMENTED REALITY FOR RESILIENT PRODUCTION SCHEDULING,2022
DIGITALTWINS;  SCOR MODEL;  SUPPLYCHAIN MANAGEMENT,"DIGITALSUPPLYCHAINS ARE OBJECTS OF INTENSIVE INTEREST FROM RESEARCH AND PRACTICE, AS DIGITALSUPPLYCHAINS AND ESPECIALLY SUPPLYCHAIN MANAGEMENT PROMISE A WIDE VARIETY OF OPTIMIZING POTENTIALS. A SOLUTION FOR BETTER VISUALIZATION AND UNDERSTANDING OF SUPPLYCHAINS AND AN OPPORTUNITY FOR FURTHER ANALYSIS, SIMULATION, AND OPTIMIZATION PROVIDES THE DIGITALTWIN. HENCE, RESEARCHERS PUT A SIZEABLE RESEARCH EFFORT INTO THE TOPIC OF DIGITALTWINS IN THE SUPPLYCHAIN. HOWEVER, THE FOCUS IS OFTEN BLURRY, WHICH LEADS TO AN UNORGANIZED RESEARCH ENVIRONMENT. AGAINST THIS BACKGROUND, THIS PAPER PROVIDES A REVIEW OF RESEARCH WORKS ON DIGITALTWINS IN SUPPLYCHAINS. IT AIMS AT ANSWERING DETAILED QUESTIONS ON USE CASES, PURPOSES, AND THE LEVEL OF TECHNOLOGICAL READINESS OF DIGITALTWINS IN SUPPLYCHAINS. © 2022 ELSEVIER B.V.. ALL RIGHTS RESERVED.",PROCEDIA COMPUTER SCIENCE,ELSEVIER B.V.,SUPPLYCHAINS IN THE ERA OF DIGITALTWINS A REVIEW,2022
