Author Keywords,Abstract,Source Title,Publisher,Title,Year
DIGITALTWIN;  DISRUPTION RISKS;  LITERATURE REVIEW;  SUPPLYCHAIN,"THIS PAPER EXAMINES THE IMPLEMENTATIONS OF DIGITALTWINS (DTS) IN THE CONTEXT OF SUPPLYCHAINS (SCS) AND DISRUPTION RISKS. THE CONCEPT OF A DIGITALSUPPLYCHAINTWIN (DSCT) HAS BEEN A TRENDING TOPIC IN RECENT YEARS, BUT VERY LITTLE OF THE LITERATURE DEALS WITH CASE STUDIES AND ACTUAL APPLICATIONS. THEREFORE, THIS STUDY CONCENTRATES ON REVIEWING THE IMPLEMENTATIONS OF DSCTS. MOREOVER, DISRUPTION RISKS ASSOCIATED WITH THE CURRENT PANDEMIC HAVE ENCOURAGED THE ADOPTION OF DSCTS TO IMPROVE SC RESILIENCE AND AGILITY. FOR THOSE REASONS, THIS STUDY ANALYZES THE LITERATURE ACCORDING TO DIFFERENT INDUSTRY SECTORS’ IMPLEMENTATIONS (E.G., FOOD, AEROSPACE AND AUTOMOTIVE, CONSTRUCTION, PHARMACEUTICAL, AND GENERAL MANUFACTURING INDUSTRIES). ADDITIONALLY, LITERATURE CONCENTRATED ON APPLICATIONS FOR SC RISKS IS STUDIED. THIS LITERATURE REVIEW UNVEILS THE CURRENT DEVELOPMENTS OF DSCTS IN THE SPECIFIC INDUSTRIES COVERED AND RISKS APPLICATIONS. HENCE, THIS WORK IS INTENDED TO HELP SC PRACTITIONERS AND RESEARCHERS IDENTIFY CHALLENGES AND POTENTIAL RESEARCH AREAS FOR DSCTS. © 2022, IFIP INTERNATIONAL FEDERATION FOR INFORMATION PROCESSING.",IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY,SPRINGER SCIENCE AND BUSINESS MEDIA DEUTSCHLAND GMBH,A SURVEY OF DIGITALSUPPLYCHAINTWINS IMPLEMENTATIONS,2022
CLOUD;  CLOUD MANUFACTURING;  DIGITALTWINS;  PLATFORMS;  SUPPLYCHAIN,"THE CONTINUED ADVANCEMENT OF COMPUTING AND DIGITAL TECHNOLOGIES IS TRANSFORMING MARKETS, ECONOMICS, BUSINESSES, AND SOCIETY. WE DISCUSS THE CHARACTERISTICS AND APPLICATIONS OF THREE IMPORTANT DEVELOPMENTS THAT ARE GENERATING TRANSFORMATIVE CHANGE IN THE MANAGEMENT OF SUPPLYCHAINS AND BUSINESS OPERATIONS—CLOUD-BASED SYSTEMS, DIGITAL PLATFORMS, AND DIGITALTWINS. THE CLOUD PROVIDES COMPUTER RESOURCES AND COMPUTING SERVICES VIA THE INTERNET. IT HAS CHANGED THE ECONOMICS OF IT, ENABLING EASY ACCESS TO VAST COMPUTING RESOURCES AND THE ELASTIC SCALABILITY OF IT SOLUTIONS TO MATCH DEMAND. MIGRATION TO THE CLOUD IS STRONGLY AFFECTING CORPORATE IT STRATEGIES. RAPID DEVELOPMENTS IN SOFTWARE-AS-A-SERVICE (SAAS) INCLUDE ENTERPRISE RESOURCE PLANNING APPLICATIONS OFFERED THROUGH VARIOUS MODES OF CLOUD DELIVERY. DIGITAL PLATFORMS HAVE CHANGED THE NATURE OF MARKETS IN MANY SECTORS, MOST NOTABLY ACROSS THE RETAIL ECONOMY. AS WELL AS FACILITATING COMMERCIAL TRANSACTIONS, DIGITAL PLATFORMS CAN ALSO NURTURE BUSINESS ECOSYSTEMS THAT SUPPORT PRODUCT AND SERVICE INNOVATION. CLOUD MANUFACTURING OFFERS THE POTENTIAL TO DELIVER MANUFACTURING-AS-A-SERVICE (MAAS) THROUGH A PLATFORM. DIGITALTWINS ENCOMPASS A RANGE OF EMERGING TECHNOLOGIES THAT CAPTURE THE CHARACTERISTICS OF A SYSTEM, WITH DYNAMIC EXCHANGE OF INFORMATION BETWEEN THE SYSTEM AND ITS DIGITAL REPRESENTATION. WE DEFINE DIGITALSUPPLYCHAINTWINS AND DISCUSS THEIR POTENTIAL TO IMPROVE SUPPLYCHAIN RESILIENCE. © 2022 ELSEVIER INC. ALL RIGHTS RESERVED.",THE DIGITALSUPPLYCHAIN,ELSEVIER,THE CLOUD PLATFORMS AND DIGITALTWINSENABLERS OF THE DIGITALSUPPLYCHAIN,2022
BLOCKCHAIN;  CLOUD COMPUTING;  DIGITALSUPPLYCHAIN;  DIGITALTWINS;  INTERNET OF THINGS;  SMART FACTORY;  SUPPLYCHAIN ANALYTICS,"ADVANCES IN TECHNOLOGY, RAPID GLOBALIZATION, TRADE LIBERALIZATION, AND INCREASED REGULATION HAVE SHAPED SUPPLYCHAINS IN THE LAST FOUR DECADES. WE EXAMINE THE IMPACT OF DIGITALIZATION ON CONTEMPORARY AND FUTURE SUPPLYCHAINS. DIGITALIZATION POTENTIALLY ENABLES A STRONG DIGITAL THREAD CONNECTING AND MIRRORING AN ENTIRE PHYSICAL SUPPLYCHAIN. WE PROVIDE AN OVERVIEW OF THE PRINCIPAL TECHNOLOGIES AND SYSTEMS ENABLING THE DIGITALSUPPLYCHAIN, INCLUDING SMART FACTORIES, SMART WAREHOUSES, SMART LOGISTICS, CLOUD-BASED SYSTEMS, AND DIGITAL PLATFORMS. WE DISCUSS THE COMPUTATIONAL ENGINES ENABLED BY ANALYTICS, DATA SCIENCE, AND ARTIFICIAL INTELLIGENCE AND THE EMERGING TECHNOLOGIES LIKELY TO INFLUENCE FUTURE SUPPLYCHAINS—BLOCKCHAIN, DIGITALTWINS, INTERNET OF THINGS, 5G, EDGE, AND FOG COMPUTING. THE TECHNOLOGIES OFFERING THE MOST PROMISE IN LINKING THE VIRTUAL AND PHYSICAL WORLDS TO IMPROVE SUPPLYCHAIN PERFORMANCE ARE NOTED. WE DESCRIBE AN EVOLVING SPECTRUM FROM DIGITALLY IMMATURE TO DIGITALLY ENABLED AND DIGITALLY TRANSFORMED SUPPLYCHAINS. WE PROVIDE BOTH NARROW AND BROAD DEFINITIONS FOR FUTURE DIGITALSUPPLYCHAINS. THE TRANSFORMATIVE EFFECTS OF THE DIGITALIZATION OF SUPPLYCHAINS WILL AFFECT SUPPLY SYSTEMS IN DIVERSE WAYS. DATA-RICH SUPPLYCHAIN ECOSYSTEMS WILL PROVIDE MANY NEW OPPORTUNITIES BUT WILL ALSO GIVE RISE TO MANY CHALLENGES THAT REQUIRE CONTINUED ANALYSIS AND EVALUATION BY RESEARCHERS AND PRACTITIONERS. © 2022 ELSEVIER INC. ALL RIGHTS RESERVED.",THE DIGITALSUPPLYCHAIN,ELSEVIER,THE DIGITALSUPPLYCHAINEMERGENCE CONCEPTS DEFINITIONS AND TECHNOLOGIES,2022
DIGITALSUPPLYCHAINTWIN;  DIGITALTWIN;  LOGISTICS;  LOGISTICS AND SUPPLYCHAIN MANAGEMENT;  SUPPLYCHAIN MANAGEMENT;  SYSTEMATIC LITERATURE REVIEW,"BACKGROUND: DIGITALSUPPLYCHAINTWINS (DSCT) ARE GAINING INCREASED ATTENTION IN ACADEMIA AND PRACTICE AS THEY EMERGE AS ONE OF THE MOST IMPORTANT TRENDS IN LOGISTICS AND SUPPLYCHAIN MANAGEMENT (LSCM). STILL, THERE SEEMS TO BE NO COMMON UNDERSTANDING OF THE TERM IN SCIENTIFIC LITERATURE. MOREOVER, THE BROAD FIELD OF LSCM ALLOWS FOR A MULTITUDE OF FEASIBLE APPLICATION AREAS AND USE CASES, YET THERE EXISTS NO CONCLUSIVE LIST OF THEM AS TO DATE. METHODS: THIS STUDY BUILDS UPON A SYSTEMATIC LITERATURE REVIEW OF 66 DSCT ARTICLES TO IDENTIFY APPLICATION AREAS OF DSCT IN LSCM AS WELL AS SPECIFIC USE CASES AND THEIR RESPECTIVE INTENDED BENEFITS. RESULTS: TO START WITH, THE STUDY DERIVES A UNIFIED DEFINITION OF DSCTS, INCLUDING POSSIBLE SCOPES OF APPLICATIONS. AFTERWARDS, FIVE APPLICATION AREAS OF DSCT IN LSCM ARE SYNTHESIZED AS WELL AS 14 INDIVIDUAL USE CASES AND THEIR RESPECTIVE INTENDED BENEFITS. CONCLUSIONS: THE STUDY LEADS TOWARDS A CONCEPTUAL CLARIFICATION OF DSCT THAT IS OF IMPORTANCE FOR RESEARCH AND PRACTICE ALIKE. FOR MANAGERS IT ADDITIONALLY PROVIDES UP-TO-DATE USE CASES TO GUIDE DSCT APPLICATIONS IN PRACTICE. © 2021 BY THE AUTHORS.",LOGISTICS,MDPI,DIGITALSUPPLYCHAINTWINSCONCEPTUAL CLARIFICATION USE CASES AND BENEFITS,2021
DATA-DRIVEN TECHNOLOGY;  DIGITALTWIN;  LEAN MANUFACTURING;  PRESCRIPTIVE ANALYSIS;  REINFORCED LEARNING;  SIMULATION MODELLING;  SUPPLYCHAINFOURTH;  SYSTEMATIC REVIEW,"BACKGROUND: AS THE INTERNET OF THINGS (IOT) HAS BECOME MORE PREVALENT IN RECENT YEARS, DIGITALTWINS HAVE ATTRACTED A LOT OF ATTENTION. A DIGITALTWIN IS A VIRTUAL REPRESENTATION THAT REPLICATES A PHYSICAL OBJECT OR PROCESS OVER A PERIOD OF TIME. THESE TOOLS DIRECTLY ASSIST IN REDUCING THE MANUFACTURING AND SUPPLYCHAIN LEAD TIME TO PRODUCE A LEAN, FLEXIBLE, AND SMART PRODUCTION AND SUPPLYCHAIN SETTING. RECENTLY, REINFORCED MACHINE LEARNING HAS BEEN INTRODUCED IN PRODUCTION AND LOGISTICS SYSTEMS TO BUILD PRESCRIPTIVE DECISION SUPPORT PLATFORMS TO CREATE A COMBINATION OF LEAN, SMART, AND AGILE PRODUCTION SETUP. THEREFORE, THERE IS A NEED TO CUMULATIVELY ARRANGE AND SYSTEMATIZE THE PAST RESEARCH DONE IN THIS AREA TO GET A BETTER UNDERSTANDING OF THE CURRENT TREND AND FUTURE RESEARCH DIRECTIONS FROM THE PERSPECTIVE OF INDUSTRYFOURTH. METHODS: STRICT KEYWORD SELECTION, SEARCH STRATEGY, AND EXCLUSION CRITERIA WERE APPLIED IN THE SCOPUS DATABASE (2010 TO 2021) TO SYSTEMATIZE THE LITERATURE. RESULTS: THE FINDINGS ARE SNOWBALLED AS A SYSTEMATIC REVIEW AND LATER THE FINAL DATA SET HAS BEEN CONDUCTED TO UNDERSTAND THE INTENSITY AND RELEVANCE OF RESEARCH WORK DONE IN DIFFERENT SUBSECTIONS RELATED TO THE CONTEXT OF THE RESEARCH AGENDA PROPOSED. CONCLUSION: A FRAMEWORK FOR DATA-DRIVEN DIGITALTWIN GENERATION AND REINFORCED LEARNING HAS BEEN PROPOSED AT THE END OF THE PAPER ALONG WITH A RESEARCH PARADIGM. © 2021 BY THE AUTHORS.",LOGISTICS,MDPI,DIGITALTWIN INTEGRATED REINFORCED LEARNING IN SUPPLYCHAIN AND LOGISTICS,2021
DIGITALTWIN;  MACHINE LEARNING;  MASTER PRODUCTION SCHEDULE;  SUPPLYCHAINFOURTH;  ZERO-DEFECT MANUFACTURING,"RISKS ARISING FROM THE EFFECT OF DISRUPTIONS AND UNSUSTAINABLE PRACTICES CONSTANTLY PUSH THE SUPPLYCHAIN TO UNCOMPETITIVE POSITIONS. A SMART PRODUCTION PLANNING AND CONTROL PROCESS MUST SUCCESSFULLY ADDRESS BOTH RISKS BY REDUCING THEM, THEREBY STRENGTHENING SUPPLYCHAIN (SC) RESILIENCE AND ITS ABILITY TO SURVIVE IN THE LONG TERM. ON THE ONE HAND, THE ANTIDISRUPTIVE POTENTIAL AND THE INHERENT SUSTAINABILITY IMPLICATIONS OF THE ZERO-DEFECT MANUFACTURING (ZDM) MANAGEMENT MODEL SHOULD BE HIGHLIGHTED. ON THE OTHER HAND, THE DIGITIZATION AND VIRTUALIZATION OF PROCESSES BY INDUSTRYFOURTH (I4.0) DIGITAL TECHNOLOGIES, NAMELY DIGITALTWIN (DT) TECHNOLOGY, ENABLE NEW SIMULATION AND OPTIMIZATION METHODS, ESPECIALLY IN COMBINATION WITH MACHINE LEARNING (ML) PROCEDURES. THIS PAPER REVIEWS THE STATE OF THE ART AND PROPOSES A ZDM STRATEGY-BASED CONCEPTUAL FRAMEWORK THAT MODELS, OPTIMIZES AND SIMULATES THE MASTER PRODUCTION SCHEDULE (MPS) PROBLEM TO MAXIMIZE SERVICE LEVELS IN SCS. THIS CONCEPTUAL FRAMEWORK WILL SERVE AS A STARTING POINT FOR DEVELOPING NEW MPS OPTIMIZATION MODELS AND ALGORITHMS IN SUPPLYCHAINFOURTH (SC4.0) ENVIRONMENTS. © 2021 BY THE AUTHORS. LICENSEE MDPI, BASEL, SWITZERLAND.",COMPUTERS,MDPI,SMART MASTER PRODUCTION SCHEDULE FOR THE SUPPLYCHAIN A CONCEPTUAL FRAMEWORK,2021
DIGITALTWIN;  HINTERLAND;  INTERMODAL;  MULTIMODAL;  SUPPLYCHAIN,"BOTH MODERN MULTI- AND INTERMODAL SUPPLYCHAINS POSE A SIGNIFICANT CHALLENGE TO CONTROL AND MAINTAIN WHILE OFFERING NUMEROUS OPTIMIZATION POTENTIAL. DIGITALTWINS HAVE BEEN PROPOSED TO IMPROVE SUPPLYCHAINS. HOWEVER, AS OF TODAY, THEY ARE ONLY USED FOR CERTAIN PARTS OF THE ENTIRE SUPPLYCHAIN. THIS PAPER PRESENTS AN INITIAL FRAMEWORK FOR A HOLISTIC DIGITALSUPPLYCHAINTWIN (DSCT) CAPABLE OF INCLUDING AN ENTIRE MULTIMODAL SUPPLYCHAIN. SUCH A DSCT PROMISES TO ENABLE SEVERAL IMPROVEMENTS ALL ACROSS THE SUPPLYCHAIN WHILE ALSO BE CAPABLE OF SIMULATING AND EVALUATE SEVERAL DIFFERENT SCENARIOS FOR THE SUPPLYCHAIN. THEREFORE, THE DSCT WILL NOT ONLY BE ABLE TO OPTIMIZE MULTI- AND INTERMODAL SUPPLYCHAINS BUT ALSO MAKES THEM POTENTIALLY MORE ROBUST BY IDENTIFYING POSSIBLE ISSUES EARLY ON. THIS PAPER DISCUSSES THE MAJOR REQUIREMENTS THAT SUCH A DSCT MUST FULFIL TO BE USEFUL AND HOW SEVERAL INFORMATION TECHNOLOGIES THAT MATURED IN RECENT YEARS OR ARE ABOUT THE MATURE ARE THE KEY ENABLERS TO FULFIL THESE REQUIREMENTS. FINALLY, A SUGGESTED HIGH-LEVEL ARCHITECTURE FOR SUCH A DSCT IS PRESENTED AS A FIRST STEP TOWARDS THE REALIZATION OF A DSCT, AS PRESENTED IN THIS WORK. © 2021 BY THE AUTHORS.",LOGISTICS,MDPI,TOWARDS DIGITALTWINS OF MULTIMODAL SUPPLYCHAINS,2021
DIGITALTWIN;  MACHINE LEARNING;  PRODUCTION SCHEDULING;  SUPPLIER RISK,"THIS PAPER OFFERS AN INTEGRATED FRAMEWORK BRIDGING PRODUCTION AND LOGISTICS PROCESSES THAT EMPLOYS A MACHINE LEARNING-ENABLED DIGITALTWIN TO ENSURE ADAPTIVE PRODUCTION SCHEDULING AND RESILIENT SUPPLYCHAINOPERATIONS. THE DIGITAL-TWIN BASED ARCHITECTURE WILL ENABLE MANUFACTURERS TO PROACTIVELY MANAGE SUPPLYCHAIN RISK IN AN INCREASINGLY COMPLEX AND DYNAMIC ENVIRONMENT. THIS INTEGRATED FRAMEWORK ENABLES “SENSE-AND-RESPOND” CAPABILITIES, I.E. THE ABILITY TO SENSE POTENTIAL SUPPLIER AND PRODUCTION RISKS THAT AFFECT ULTIMATE DELIVERY TO THE CUSTOMER, TO UPDATE ANTICIPATED CUSTOMER DELIVERY DATES, AND RECOMMEND MITIGATING STEPS THAT MINIMIZE ANY ANTICIPATED DISRUPTION. IN ITS CORE FUNCTIONALITY THIS FRAMEWORK SENSES DISRUPTIONS AT A SUPPLIER FACILITY THAT CASCADE DOWN THE UPSTREAM SUPPLYCHAIN AND EMPLOYS THE PREDICTIVE CAPABILITIES OF ITS MACHINE LEARNING-BASED ENGINE TO TRIGGER AND SUPPORT ADAPTIVE CHANGES TO THE MANUFACTURER’S MES SYSTEM. ANY CHANGES TO THE PRODUCTION SCHEDULE THAT CANNOT BE ACCOMMODATED IN A REVISED SCHEDULE ARE PROPAGATED ACROSS THE DOWNSTREAM SUPPLYCHAIN ALERTING END CUSTOMERS TO ANY CHANGES. © 2021, IFIP INTERNATIONAL FEDERATION FOR INFORMATION PROCESSING.",IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY,SPRINGER SCIENCE AND BUSINESS MEDIA DEUTSCHLAND GMBH,DIGITALTWIN FRAMEWORK FOR MACHINE LEARNINGENABLED INTEGRATED PRODUCTION AND LOGISTICS PROCESSES,2021
CONCEPTUAL FRAMEWORK;  DIGITALTWIN;  MASTER PRODUCTION SCHEDULE;  REINFORCEMENT LEARNING;  SUPPLYCHAINFOURTH;  ZERO-DEFECT MANUFACTURING,"RECENTLY, MANY NOVEL PARADIGMS, CONCEPTS AND TECHNOLOGIES, WHICH LAY THE FOUNDATION FOR THE NEW REVOLUTION IN MANUFACTURING ENVIRONMENTS, HAVE EMERGED AND MAKE IT FASTER TO ADDRESS CRITICAL DECISIONS TODAY IN SUPPLYCHAINFOURTH (SC4.0), WITH FLEXIBILITY, RESILIENCE, SUSTAINABILITY AND QUALITY CRITERIA. THE CURRENT POWER OF COMPUTATIONAL RESOURCES ENABLES INTELLIGENT OPTIMISATION ALGORITHMS TO PROCESS MANUFACTURING DATA IN SUCH A WAY, THAT SIMULATING SUPPLYCHAIN (SC) PLANNING PERFORMANCE IN REAL TIME IS NOW POSSIBLE, WHICH ALLOWS RELEVANT INFORMATION TO BE ACQUIRED SO THAT SC NODES ARE DIGITALLY INTERCONNECTED. THIS PAPER PROPOSES A CONCEPTUAL FRAMEWORK BASED ON A DIGITALTWIN (DT) TO MODEL, OPTIMISE AND PRESCRIBE A SC’S MASTER PRODUCTION SCHEDULE (MPS) IN A ZERO-DEFECT ENVIRONMENT. THE PROPOSED PRODUCTION TECHNOLOGIES FOCUS ON THE SCIENTIFIC DEVELOPMENT AND RESOLUTION OF NEW MODELS AND OPTIMISATION ALGORITHMS FOR THE MPS PROBLEM IN SC4.0. © 2021, IFIP INTERNATIONAL FEDERATION FOR INFORMATION PROCESSING.",IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY,SPRINGER SCIENCE AND BUSINESS MEDIA DEUTSCHLAND GMBH,DIGITALTWIN FOR SUPPLYCHAIN MASTER PLANNING IN ZERODEFECT MANUFACTURING,2021
