Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.292538182744816
75% Corpus,2,0.01,0.21000000000000002,0.29341973669412336
75% Corpus,2,0.01,0.41000000000000003,0.2914919196944155
75% Corpus,2,0.01,0.6100000000000001,0.29067938906628843
75% Corpus,2,0.01,0.81,0.29054591502994553
75% Corpus,2,0.01,symmetric,0.29061036574510807
75% Corpus,2,0.21000000000000002,0.01,0.2999496561989426
75% Corpus,2,0.21000000000000002,0.21000000000000002,0.2934197366941234
75% Corpus,2,0.21000000000000002,0.41000000000000003,0.29253818274481597
75% Corpus,2,0.21000000000000002,0.6100000000000001,0.2906793890662885
75% Corpus,2,0.21000000000000002,0.81,0.2967085250922391
75% Corpus,2,0.21000000000000002,symmetric,0.292538182744816
75% Corpus,2,0.41000000000000003,0.01,0.29056944851402705
75% Corpus,2,0.41000000000000003,0.21000000000000002,0.2934197366941234
75% Corpus,2,0.41000000000000003,0.41000000000000003,0.2989460722856514
75% Corpus,2,0.41000000000000003,0.6100000000000001,0.292538182744816
75% Corpus,2,0.41000000000000003,0.81,0.28451677900399475
75% Corpus,2,0.41000000000000003,symmetric,0.2989460722856514
75% Corpus,2,0.6100000000000001,0.01,0.28718998161958315
75% Corpus,2,0.6100000000000001,0.21000000000000002,0.29354176665810716
75% Corpus,2,0.6100000000000001,0.41000000000000003,0.29994965619894254
75% Corpus,2,0.6100000000000001,0.6100000000000001,0.292538182744816
75% Corpus,2,0.6100000000000001,0.81,0.292538182744816
75% Corpus,2,0.6100000000000001,symmetric,0.291118726897077
75% Corpus,2,0.81,0.01,0.296984724299616
75% Corpus,2,0.81,0.21000000000000002,0.2999496561989426
75% Corpus,2,0.81,0.41000000000000003,0.29994965619894254
75% Corpus,2,0.81,0.6100000000000001,0.2975266164379124
75% Corpus,2,0.81,0.81,0.291118726897077
75% Corpus,2,0.81,symmetric,0.291118726897077
75% Corpus,2,symmetric,0.01,0.29994965619894254
75% Corpus,2,symmetric,0.21000000000000002,0.2935417666581072
75% Corpus,2,symmetric,0.41000000000000003,0.292538182744816
75% Corpus,2,symmetric,0.6100000000000001,0.292538182744816
75% Corpus,2,symmetric,0.81,0.2906793890662885
75% Corpus,2,symmetric,symmetric,0.292538182744816
75% Corpus,2,asymmetric,0.01,0.2918535028893817
75% Corpus,2,asymmetric,0.21000000000000002,0.2948893448766544
75% Corpus,2,asymmetric,0.41000000000000003,0.2948893448766544
75% Corpus,2,asymmetric,0.6100000000000001,0.2956084551981447
75% Corpus,2,asymmetric,0.81,0.30977416549458575
75% Corpus,2,asymmetric,symmetric,0.2948893448766544
75% Corpus,3,0.01,0.01,0.2993278759064791
75% Corpus,3,0.01,0.21000000000000002,0.2970343113047247
75% Corpus,3,0.01,0.41000000000000003,0.2882750267208046
75% Corpus,3,0.01,0.6100000000000001,0.2816469457343352
75% Corpus,3,0.01,0.81,0.2811927379148686
75% Corpus,3,0.01,symmetric,0.28751145103449544
75% Corpus,3,0.21000000000000002,0.01,0.30269003415765855
75% Corpus,3,0.21000000000000002,0.21000000000000002,0.29703431130472463
75% Corpus,3,0.21000000000000002,0.41000000000000003,0.28781519749465745
75% Corpus,3,0.21000000000000002,0.6100000000000001,0.2765389536084721
75% Corpus,3,0.21000000000000002,0.81,0.2807708549908119
75% Corpus,3,0.21000000000000002,symmetric,0.29361708672699693
75% Corpus,3,0.41000000000000003,0.01,0.3020784193950337
75% Corpus,3,0.41000000000000003,0.21000000000000002,0.29569541936259575
75% Corpus,3,0.41000000000000003,0.41000000000000003,0.2900754853578911
75% Corpus,3,0.41000000000000003,0.6100000000000001,0.2737060690358525
75% Corpus,3,0.41000000000000003,0.81,0.2762569551532646
75% Corpus,3,0.41000000000000003,symmetric,0.2900754853578911
75% Corpus,3,0.6100000000000001,0.01,0.29838793525555246
75% Corpus,3,0.6100000000000001,0.21000000000000002,0.2928332179870445
75% Corpus,3,0.6100000000000001,0.41000000000000003,0.28831362733082966
75% Corpus,3,0.6100000000000001,0.6100000000000001,0.27796902786015193
75% Corpus,3,0.6100000000000001,0.81,0.27396238839710785
75% Corpus,3,0.6100000000000001,symmetric,0.28890084513100917
75% Corpus,3,0.81,0.01,0.28996538445032743
75% Corpus,3,0.81,0.21000000000000002,0.2920435213178968
75% Corpus,3,0.81,0.41000000000000003,0.28831362733082966
75% Corpus,3,0.81,0.6100000000000001,0.2859471606043094
75% Corpus,3,0.81,0.81,0.2759994792901552
75% Corpus,3,0.81,symmetric,0.2889008451310092
75% Corpus,3,symmetric,0.01,0.30269003415765855
75% Corpus,3,symmetric,0.21000000000000002,0.29209917430671445
75% Corpus,3,symmetric,0.41000000000000003,0.2878151974946575
75% Corpus,3,symmetric,0.6100000000000001,0.27615237742632887
75% Corpus,3,symmetric,0.81,0.28313241420703966
75% Corpus,3,symmetric,symmetric,0.2915186864365907
75% Corpus,3,asymmetric,0.01,0.2945555243113362
75% Corpus,3,asymmetric,0.21000000000000002,0.2904764924166661
75% Corpus,3,asymmetric,0.41000000000000003,0.2921027631701207
75% Corpus,3,asymmetric,0.6100000000000001,0.3289432749426262
75% Corpus,3,asymmetric,0.81,0.43190060079025355
75% Corpus,3,asymmetric,symmetric,0.2810997224654288
75% Corpus,4,0.01,0.01,0.2954304905017311
75% Corpus,4,0.01,0.21000000000000002,0.28884859670782864
75% Corpus,4,0.01,0.41000000000000003,0.2861677160726429
75% Corpus,4,0.01,0.6100000000000001,0.3068161717727519
75% Corpus,4,0.01,0.81,0.341778779125821
75% Corpus,4,0.01,symmetric,0.28892962774724923
75% Corpus,4,0.21000000000000002,0.01,0.2948213672540154
75% Corpus,4,0.21000000000000002,0.21000000000000002,0.29015404628172115
75% Corpus,4,0.21000000000000002,0.41000000000000003,0.2868573420149906
75% Corpus,4,0.21000000000000002,0.6100000000000001,0.30428005427007243
75% Corpus,4,0.21000000000000002,0.81,0.35262921235260714
75% Corpus,4,0.21000000000000002,symmetric,0.29164475657244104
75% Corpus,4,0.41000000000000003,0.01,0.2937967875133269
75% Corpus,4,0.41000000000000003,0.21000000000000002,0.2900797443617987
75% Corpus,4,0.41000000000000003,0.41000000000000003,0.29278591289993894
75% Corpus,4,0.41000000000000003,0.6100000000000001,0.288676660901825
75% Corpus,4,0.41000000000000003,0.81,0.3589837791796324
75% Corpus,4,0.41000000000000003,symmetric,0.2945031162600258
75% Corpus,4,0.6100000000000001,0.01,0.2980966924108548
75% Corpus,4,0.6100000000000001,0.21000000000000002,0.2915834006441629
75% Corpus,4,0.6100000000000001,0.41000000000000003,0.29713195060187103
75% Corpus,4,0.6100000000000001,0.6100000000000001,0.2713086001961953
75% Corpus,4,0.6100000000000001,0.81,0.34575264972252123
75% Corpus,4,0.6100000000000001,symmetric,0.2915834006441629
75% Corpus,4,0.81,0.01,0.2960831645343466
75% Corpus,4,0.81,0.21000000000000002,0.3006398291251686
75% Corpus,4,0.81,0.41000000000000003,0.2984410803129761
75% Corpus,4,0.81,0.6100000000000001,0.2806699466351477
75% Corpus,4,0.81,0.81,0.32064153059572387
75% Corpus,4,0.81,symmetric,0.30089740343912064
75% Corpus,4,symmetric,0.01,0.2985162493175542
75% Corpus,4,symmetric,0.21000000000000002,0.29015404628172115
75% Corpus,4,symmetric,0.41000000000000003,0.28796219130399187
75% Corpus,4,symmetric,0.6100000000000001,0.31439288639614144
75% Corpus,4,symmetric,0.81,0.3637530083365229
75% Corpus,4,symmetric,symmetric,0.289372812830295
75% Corpus,4,asymmetric,0.01,0.2941481408853144
75% Corpus,4,asymmetric,0.21000000000000002,0.29551945267236596
75% Corpus,4,asymmetric,0.41000000000000003,0.2769377525984747
75% Corpus,4,asymmetric,0.6100000000000001,0.42309595464743643
75% Corpus,4,asymmetric,0.81,0.458068265000503
75% Corpus,4,asymmetric,symmetric,0.29707371470705224
75% Corpus,5,0.01,0.01,0.2868392977039507
75% Corpus,5,0.01,0.21000000000000002,0.28725308077938744
75% Corpus,5,0.01,0.41000000000000003,0.29266698095189464
75% Corpus,5,0.01,0.6100000000000001,0.33759738973865155
75% Corpus,5,0.01,0.81,0.3977950015230289
75% Corpus,5,0.01,symmetric,0.2871073800852839
75% Corpus,5,0.21000000000000002,0.01,0.28682779975556744
75% Corpus,5,0.21000000000000002,0.21000000000000002,0.28148806582414165
75% Corpus,5,0.21000000000000002,0.41000000000000003,0.2922568748557906
75% Corpus,5,0.21000000000000002,0.6100000000000001,0.35617387154496827
75% Corpus,5,0.21000000000000002,0.81,0.43705447737753944
75% Corpus,5,0.21000000000000002,symmetric,0.27585883241593046
75% Corpus,5,0.41000000000000003,0.01,0.29155780604614556
75% Corpus,5,0.41000000000000003,0.21000000000000002,0.2799941296312941
75% Corpus,5,0.41000000000000003,0.41000000000000003,0.29360337944986675
75% Corpus,5,0.41000000000000003,0.6100000000000001,0.3725196642086656
75% Corpus,5,0.41000000000000003,0.81,0.43023215990216757
75% Corpus,5,0.41000000000000003,symmetric,0.27749797702385803
75% Corpus,5,0.6100000000000001,0.01,0.2871258265200976
75% Corpus,5,0.6100000000000001,0.21000000000000002,0.2810142987056845
75% Corpus,5,0.6100000000000001,0.41000000000000003,0.2958429808225375
75% Corpus,5,0.6100000000000001,0.6100000000000001,0.37106638871858316
75% Corpus,5,0.6100000000000001,0.81,0.4287235246753796
75% Corpus,5,0.6100000000000001,symmetric,0.28450227086261215
75% Corpus,5,0.81,0.01,0.28692715000565217
75% Corpus,5,0.81,0.21000000000000002,0.28635607109370864
75% Corpus,5,0.81,0.41000000000000003,0.27611463286574855
75% Corpus,5,0.81,0.6100000000000001,0.33243325853261646
75% Corpus,5,0.81,0.81,0.423452110093412
75% Corpus,5,0.81,symmetric,0.291216678737594
75% Corpus,5,symmetric,0.01,0.28682779975556744
75% Corpus,5,symmetric,0.21000000000000002,0.2788776569564047
75% Corpus,5,symmetric,0.41000000000000003,0.2903639797207629
75% Corpus,5,symmetric,0.6100000000000001,0.3607943880321711
75% Corpus,5,symmetric,0.81,0.44439617099987105
75% Corpus,5,symmetric,symmetric,0.2815542801594571
75% Corpus,5,asymmetric,0.01,0.29154482378962554
75% Corpus,5,asymmetric,0.21000000000000002,0.2822156305079309
75% Corpus,5,asymmetric,0.41000000000000003,0.3056120037903632
75% Corpus,5,asymmetric,0.6100000000000001,0.47400413819526854
75% Corpus,5,asymmetric,0.81,0.43517574901904316
75% Corpus,5,asymmetric,symmetric,0.2712947573007396
75% Corpus,6,0.01,0.01,0.2851005472888329
75% Corpus,6,0.01,0.21000000000000002,0.2915029351307004
75% Corpus,6,0.01,0.41000000000000003,0.3714710903658272
75% Corpus,6,0.01,0.6100000000000001,0.4026947291660201
75% Corpus,6,0.01,0.81,0.40157752335822555
75% Corpus,6,0.01,symmetric,0.28589414854282974
75% Corpus,6,0.21000000000000002,0.01,0.2903773434671056
75% Corpus,6,0.21000000000000002,0.21000000000000002,0.29940211092236574
75% Corpus,6,0.21000000000000002,0.41000000000000003,0.3414959880764327
75% Corpus,6,0.21000000000000002,0.6100000000000001,0.42347955822839634
75% Corpus,6,0.21000000000000002,0.81,0.3654210313962181
75% Corpus,6,0.21000000000000002,symmetric,0.29421393500797904
75% Corpus,6,0.41000000000000003,0.01,0.3027912371024677
75% Corpus,6,0.41000000000000003,0.21000000000000002,0.29384421471744365
75% Corpus,6,0.41000000000000003,0.41000000000000003,0.34555462077901433
75% Corpus,6,0.41000000000000003,0.6100000000000001,0.404959319757648
75% Corpus,6,0.41000000000000003,0.81,0.37043484108796326
75% Corpus,6,0.41000000000000003,symmetric,0.29761699079642373
75% Corpus,6,0.6100000000000001,0.01,0.3043819759851469
75% Corpus,6,0.6100000000000001,0.21000000000000002,0.30516622167866414
75% Corpus,6,0.6100000000000001,0.41000000000000003,0.3331200917648082
75% Corpus,6,0.6100000000000001,0.6100000000000001,0.38979121413911244
75% Corpus,6,0.6100000000000001,0.81,0.38388950239031683
75% Corpus,6,0.6100000000000001,symmetric,0.30647715192686115
75% Corpus,6,0.81,0.01,0.30677230872775313
75% Corpus,6,0.81,0.21000000000000002,0.2913912882102752
75% Corpus,6,0.81,0.41000000000000003,0.3201068818341147
75% Corpus,6,0.81,0.6100000000000001,0.3583157303215805
75% Corpus,6,0.81,0.81,0.3619210681820641
75% Corpus,6,0.81,symmetric,0.30577060027768266
75% Corpus,6,symmetric,0.01,0.2876909015947566
75% Corpus,6,symmetric,0.21000000000000002,0.2988187720845722
75% Corpus,6,symmetric,0.41000000000000003,0.351126343081912
75% Corpus,6,symmetric,0.6100000000000001,0.3821869500728714
75% Corpus,6,symmetric,0.81,0.3753785548338793
75% Corpus,6,symmetric,symmetric,0.29658325312463857
75% Corpus,6,asymmetric,0.01,0.2830618797741647
75% Corpus,6,asymmetric,0.21000000000000002,0.26669598591174287
75% Corpus,6,asymmetric,0.41000000000000003,0.3714354364786477
75% Corpus,6,asymmetric,0.6100000000000001,0.4884601418598396
75% Corpus,6,asymmetric,0.81,0.466091284980327
75% Corpus,6,asymmetric,symmetric,0.2702246466119515
75% Corpus,7,0.01,0.01,0.2840035419254806
75% Corpus,7,0.01,0.21000000000000002,0.2842680896207238
75% Corpus,7,0.01,0.41000000000000003,0.34243612493507436
75% Corpus,7,0.01,0.6100000000000001,0.37475685142635634
75% Corpus,7,0.01,0.81,0.3492406143996744
75% Corpus,7,0.01,symmetric,0.2861240620430517
75% Corpus,7,0.21000000000000002,0.01,0.2873671433941557
75% Corpus,7,0.21000000000000002,0.21000000000000002,0.2953733638586774
75% Corpus,7,0.21000000000000002,0.41000000000000003,0.3365249657399397
75% Corpus,7,0.21000000000000002,0.6100000000000001,0.4094068240135276
75% Corpus,7,0.21000000000000002,0.81,0.343427777097618
75% Corpus,7,0.21000000000000002,symmetric,0.28974853625940294
75% Corpus,7,0.41000000000000003,0.01,0.3056347516884047
75% Corpus,7,0.41000000000000003,0.21000000000000002,0.29088505201526843
75% Corpus,7,0.41000000000000003,0.41000000000000003,0.31898145752141643
75% Corpus,7,0.41000000000000003,0.6100000000000001,0.41045325508829117
75% Corpus,7,0.41000000000000003,0.81,0.40273241303126045
75% Corpus,7,0.41000000000000003,symmetric,0.29039128820005544
75% Corpus,7,0.6100000000000001,0.01,0.30462280101220157
75% Corpus,7,0.6100000000000001,0.21000000000000002,0.29330735302865973
75% Corpus,7,0.6100000000000001,0.41000000000000003,0.3180426625432621
75% Corpus,7,0.6100000000000001,0.6100000000000001,0.40111137076415204
75% Corpus,7,0.6100000000000001,0.81,0.4013041667725264
75% Corpus,7,0.6100000000000001,symmetric,0.29529844439634
75% Corpus,7,0.81,0.01,0.30730954101948493
75% Corpus,7,0.81,0.21000000000000002,0.29707716557551084
75% Corpus,7,0.81,0.41000000000000003,0.31023937769827464
75% Corpus,7,0.81,0.6100000000000001,0.39855279683002315
75% Corpus,7,0.81,0.81,0.3948162845489516
75% Corpus,7,0.81,symmetric,0.3021853624466789
75% Corpus,7,symmetric,0.01,0.2825700484635796
75% Corpus,7,symmetric,0.21000000000000002,0.28017891043392856
75% Corpus,7,symmetric,0.41000000000000003,0.3387604795702673
75% Corpus,7,symmetric,0.6100000000000001,0.41192828090417233
75% Corpus,7,symmetric,0.81,0.37487282888056445
75% Corpus,7,symmetric,symmetric,0.2856545521929209
75% Corpus,7,asymmetric,0.01,0.28270031364099796
75% Corpus,7,asymmetric,0.21000000000000002,0.28025108228599555
75% Corpus,7,asymmetric,0.41000000000000003,0.479213115068797
75% Corpus,7,asymmetric,0.6100000000000001,0.4353668568044903
75% Corpus,7,asymmetric,0.81,0.4186731513849587
75% Corpus,7,asymmetric,symmetric,0.27685376343066487
75% Corpus,8,0.01,0.01,0.2917874550428642
75% Corpus,8,0.01,0.21000000000000002,0.30439974454383945
75% Corpus,8,0.01,0.41000000000000003,0.3131245612174263
75% Corpus,8,0.01,0.6100000000000001,0.3727434894949706
75% Corpus,8,0.01,0.81,0.46291448389293716
75% Corpus,8,0.01,symmetric,0.285833215457313
75% Corpus,8,0.21000000000000002,0.01,0.2948284517639625
75% Corpus,8,0.21000000000000002,0.21000000000000002,0.30068854396747174
75% Corpus,8,0.21000000000000002,0.41000000000000003,0.33846872373659076
75% Corpus,8,0.21000000000000002,0.6100000000000001,0.39701838601712436
75% Corpus,8,0.21000000000000002,0.81,0.4899435155989401
75% Corpus,8,0.21000000000000002,symmetric,0.2884902462363024
75% Corpus,8,0.41000000000000003,0.01,0.29557871579098927
75% Corpus,8,0.41000000000000003,0.21000000000000002,0.29727061024886375
75% Corpus,8,0.41000000000000003,0.41000000000000003,0.3358343362386211
75% Corpus,8,0.41000000000000003,0.6100000000000001,0.38183311791906066
75% Corpus,8,0.41000000000000003,0.81,0.455123715990712
75% Corpus,8,0.41000000000000003,symmetric,0.2988059262679695
75% Corpus,8,0.6100000000000001,0.01,0.2971702849584792
75% Corpus,8,0.6100000000000001,0.21000000000000002,0.296533243280078
75% Corpus,8,0.6100000000000001,0.41000000000000003,0.32760651164000143
75% Corpus,8,0.6100000000000001,0.6100000000000001,0.37919261841586605
75% Corpus,8,0.6100000000000001,0.81,0.46148586158938254
75% Corpus,8,0.6100000000000001,symmetric,0.299928793107825
75% Corpus,8,0.81,0.01,0.2972120626654974
75% Corpus,8,0.81,0.21000000000000002,0.2966303916279208
75% Corpus,8,0.81,0.41000000000000003,0.31080118957852365
75% Corpus,8,0.81,0.6100000000000001,0.38721875546019735
75% Corpus,8,0.81,0.81,0.37875731826190384
75% Corpus,8,0.81,symmetric,0.29319400321505684
75% Corpus,8,symmetric,0.01,0.29133574456444944
75% Corpus,8,symmetric,0.21000000000000002,0.3058310986016754
75% Corpus,8,symmetric,0.41000000000000003,0.3337510142261906
75% Corpus,8,symmetric,0.6100000000000001,0.40520373762687256
75% Corpus,8,symmetric,0.81,0.4697550228864519
75% Corpus,8,symmetric,symmetric,0.2904921670096927
75% Corpus,8,asymmetric,0.01,0.2892758220033019
75% Corpus,8,asymmetric,0.21000000000000002,0.3003712110250424
75% Corpus,8,asymmetric,0.41000000000000003,0.45284949259286755
75% Corpus,8,asymmetric,0.6100000000000001,0.4396855771676976
75% Corpus,8,asymmetric,0.81,0.44850990608213737
75% Corpus,8,asymmetric,symmetric,0.27425068650429396
75% Corpus,9,0.01,0.01,0.2917327909160075
75% Corpus,9,0.01,0.21000000000000002,0.31744854816467627
75% Corpus,9,0.01,0.41000000000000003,0.3769873023195782
75% Corpus,9,0.01,0.6100000000000001,0.3767273832797835
75% Corpus,9,0.01,0.81,0.40426670633581824
75% Corpus,9,0.01,symmetric,0.2927581071898407
75% Corpus,9,0.21000000000000002,0.01,0.2903886300792039
75% Corpus,9,0.21000000000000002,0.21000000000000002,0.3110897229361951
75% Corpus,9,0.21000000000000002,0.41000000000000003,0.34593906334722996
75% Corpus,9,0.21000000000000002,0.6100000000000001,0.4443275533735835
75% Corpus,9,0.21000000000000002,0.81,0.4271551240743751
75% Corpus,9,0.21000000000000002,symmetric,0.29018212634964424
75% Corpus,9,0.41000000000000003,0.01,0.2931130771609462
75% Corpus,9,0.41000000000000003,0.21000000000000002,0.2985347352897256
75% Corpus,9,0.41000000000000003,0.41000000000000003,0.36110596670642026
75% Corpus,9,0.41000000000000003,0.6100000000000001,0.4266437449501835
75% Corpus,9,0.41000000000000003,0.81,0.49221499973071925
75% Corpus,9,0.41000000000000003,symmetric,0.28886014822322625
75% Corpus,9,0.6100000000000001,0.01,0.29675123894549305
75% Corpus,9,0.6100000000000001,0.21000000000000002,0.28544302122469717
75% Corpus,9,0.6100000000000001,0.41000000000000003,0.3736809921989516
75% Corpus,9,0.6100000000000001,0.6100000000000001,0.408701864420891
75% Corpus,9,0.6100000000000001,0.81,0.47543713448575076
75% Corpus,9,0.6100000000000001,symmetric,0.28680829892996995
75% Corpus,9,0.81,0.01,0.2935188272773773
75% Corpus,9,0.81,0.21000000000000002,0.28479767806005074
75% Corpus,9,0.81,0.41000000000000003,0.35535874921048105
75% Corpus,9,0.81,0.6100000000000001,0.429348989424075
75% Corpus,9,0.81,0.81,0.496693588230567
75% Corpus,9,0.81,symmetric,0.2948776206451158
75% Corpus,9,symmetric,0.01,0.28765455397104156
75% Corpus,9,symmetric,0.21000000000000002,0.30905203030171524
75% Corpus,9,symmetric,0.41000000000000003,0.3532255181583264
75% Corpus,9,symmetric,0.6100000000000001,0.43187725352389883
75% Corpus,9,symmetric,0.81,0.4550276684868517
75% Corpus,9,symmetric,symmetric,0.29127092024692164
75% Corpus,9,asymmetric,0.01,0.2856215211885631
75% Corpus,9,asymmetric,0.21000000000000002,0.31354588386998006
75% Corpus,9,asymmetric,0.41000000000000003,0.38754910903295525
75% Corpus,9,asymmetric,0.6100000000000001,0.4920744109180093
75% Corpus,9,asymmetric,0.81,0.4494904234478984
75% Corpus,9,asymmetric,symmetric,0.2969354747027849
75% Corpus,10,0.01,0.01,0.28402140613152754
75% Corpus,10,0.01,0.21000000000000002,0.2882776484295021
75% Corpus,10,0.01,0.41000000000000003,0.38829225253641597
75% Corpus,10,0.01,0.6100000000000001,0.4271404637454287
75% Corpus,10,0.01,0.81,0.38860888942873045
75% Corpus,10,0.01,symmetric,0.2741163887125546
75% Corpus,10,0.21000000000000002,0.01,0.28818942663779074
75% Corpus,10,0.21000000000000002,0.21000000000000002,0.2908295974042485
75% Corpus,10,0.21000000000000002,0.41000000000000003,0.40653800327830886
75% Corpus,10,0.21000000000000002,0.6100000000000001,0.4155073532193504
75% Corpus,10,0.21000000000000002,0.81,0.4569720946619184
75% Corpus,10,0.21000000000000002,symmetric,0.2889754669993109
75% Corpus,10,0.41000000000000003,0.01,0.2944919290399003
75% Corpus,10,0.41000000000000003,0.21000000000000002,0.2928191184350225
75% Corpus,10,0.41000000000000003,0.41000000000000003,0.4094677051897147
75% Corpus,10,0.41000000000000003,0.6100000000000001,0.4021633810536424
75% Corpus,10,0.41000000000000003,0.81,0.48711800299075714
75% Corpus,10,0.41000000000000003,symmetric,0.2990857552866314
75% Corpus,10,0.6100000000000001,0.01,0.2918587320187954
75% Corpus,10,0.6100000000000001,0.21000000000000002,0.298524981198279
75% Corpus,10,0.6100000000000001,0.41000000000000003,0.4213795199674289
75% Corpus,10,0.6100000000000001,0.6100000000000001,0.40128526736349607
75% Corpus,10,0.6100000000000001,0.81,0.518960956677529
75% Corpus,10,0.6100000000000001,symmetric,0.2896031845208884
75% Corpus,10,0.81,0.01,0.29154692245566216
75% Corpus,10,0.81,0.21000000000000002,0.28950865868751186
75% Corpus,10,0.81,0.41000000000000003,0.37529520671528693
75% Corpus,10,0.81,0.6100000000000001,0.39665847156846235
75% Corpus,10,0.81,0.81,0.5230375084675803
75% Corpus,10,0.81,symmetric,0.29431561342002127
75% Corpus,10,symmetric,0.01,0.2921661518334281
75% Corpus,10,symmetric,0.21000000000000002,0.2783868460295689
75% Corpus,10,symmetric,0.41000000000000003,0.38199021988838566
75% Corpus,10,symmetric,0.6100000000000001,0.4125498737408385
75% Corpus,10,symmetric,0.81,0.3797682574659942
75% Corpus,10,symmetric,symmetric,0.27675331436929407
75% Corpus,10,asymmetric,0.01,0.2739742429084267
75% Corpus,10,asymmetric,0.21000000000000002,0.3560486731606866
75% Corpus,10,asymmetric,0.41000000000000003,0.4768511398105321
75% Corpus,10,asymmetric,0.6100000000000001,0.4472732501612765
75% Corpus,10,asymmetric,0.81,0.44405929368638963
75% Corpus,10,asymmetric,symmetric,0.27883049808399335
100% Corpus,2,0.01,0.01,0.3030830427044987
100% Corpus,2,0.01,0.21000000000000002,0.29567457445265766
100% Corpus,2,0.01,0.41000000000000003,0.2885900068419428
